method,schema_A,schema_B,top_k_table,top_k,matches,recall,mrr,map
LSH,SAKILA,OC_ORACLE,3) ser_magneto,1,70,0.35714285714285715,0.19537569485477607,0.425
LSH,SAKILA,OC_ORACLE,3) ser_magneto,2,140,0.75,0.10795692916173616,0.6375
LSH,SAKILA,OC_ORACLE,3) ser_magneto,3,210,0.8571428571428571,0.09492009737356598,0.6875
LSH,SAKILA,OC_ORACLE,3) ser_magneto,5,350,1.0,0.08086953701675828,0.735
LSH,SAKILA,OC_ORACLE,3) ser_magneto,10,700,1.0,0.08059723502714936,0.735
LSH,SAKILA,OC_ORACLE,3) ser_magneto,20,1400,1.0,0.0803889937808806,0.735
LSH,SAKILA,OC_ORACLE,1) ser_schema,1,70,0.5,0.20367593715808002,0.55
LSH,SAKILA,OC_ORACLE,1) ser_schema,2,140,0.5714285714285714,0.17481359717363487,0.6
LSH,SAKILA,OC_ORACLE,1) ser_schema,3,210,0.8571428571428571,0.12347767511629688,0.7166666666666666
LSH,SAKILA,OC_ORACLE,1) ser_schema,5,350,0.9285714285714286,0.11368122235283538,0.7416666666666666
LSH,SAKILA,OC_ORACLE,1) ser_schema,10,700,1.0,0.10542016249117095,0.7583333333333333
LSH,SAKILA,OC_ORACLE,1) ser_schema,20,1400,1.0,0.10540476962582938,0.7583333333333333
LSH,SAKILA,OC_ORACLE,2) ser_values,1,70,0.5,0.19575309798716228,0.575
LSH,SAKILA,OC_ORACLE,2) ser_values,2,140,0.75,0.13143186489876424,0.7125
LSH,SAKILA,OC_ORACLE,2) ser_values,3,210,0.8571428571428571,0.11786161592749012,0.7625
LSH,SAKILA,OC_ORACLE,2) ser_values,5,350,1.0,0.10091752325832744,0.8125
LSH,SAKILA,OC_ORACLE,2) ser_values,10,700,1.0,0.10041952921426044,0.8125
LSH,SAKILA,OC_ORACLE,2) ser_values,20,1400,1.0,0.10038337679423262,0.8125
LSH,SAKILA,OC_ORACLE,4) ser_reference,1,70,0.39285714285714285,0.16663979959434505,0.45
LSH,SAKILA,OC_ORACLE,4) ser_reference,2,140,0.6428571428571429,0.10601473196298654,0.6
LSH,SAKILA,OC_ORACLE,4) ser_reference,3,210,0.7142857142857143,0.09585447456685525,0.6333333333333333
LSH,SAKILA,OC_ORACLE,4) ser_reference,5,350,1.0,0.06949825865515143,0.7158333333333333
LSH,SAKILA,OC_ORACLE,4) ser_reference,10,700,1.0,0.06892974841110291,0.7158333333333333
LSH,SAKILA,OC_ORACLE,4) ser_reference,20,1400,1.0,0.06883784042499018,0.7158333333333333
LSH,OC_ORACLE,OC_MYSQL,3) ser_magneto,1,43,0.4444444444444444,0.1303773008807972,0.5714285714285714
LSH,OC_ORACLE,OC_MYSQL,3) ser_magneto,2,86,0.5555555555555556,0.09667955300231124,0.623015873015873
LSH,OC_ORACLE,OC_MYSQL,3) ser_magneto,3,129,0.6666666666666666,0.0827619899336654,0.6521164021164022
LSH,OC_ORACLE,OC_MYSQL,3) ser_magneto,5,215,0.7407407407407407,0.07502492895579553,0.6735449735449736
LSH,OC_ORACLE,OC_MYSQL,3) ser_magneto,10,430,0.8518518518518519,0.06659940896888643,0.6880007558578988
LSH,OC_ORACLE,OC_MYSQL,3) ser_magneto,20,860,0.9629629629629629,0.059318339594564826,0.6963176791184311
LSH,OC_ORACLE,OC_MYSQL,1) ser_schema,1,43,0.48148148148148145,0.23346069465978966,0.6190476190476191
LSH,OC_ORACLE,OC_MYSQL,1) ser_schema,2,86,0.5925925925925926,0.18967818969028333,0.6785714285714286
LSH,OC_ORACLE,OC_MYSQL,1) ser_schema,3,129,0.7407407407407407,0.15296276057629846,0.7288359788359788
LSH,OC_ORACLE,OC_MYSQL,1) ser_schema,5,215,0.8148148148148148,0.1389695381945413,0.7439153439153439
LSH,OC_ORACLE,OC_MYSQL,1) ser_schema,10,430,0.8888888888888888,0.12739424137192176,0.7500661375661375
LSH,OC_ORACLE,OC_MYSQL,1) ser_schema,20,860,0.9629629629629629,0.1180213307026888,0.7565145502645502
LSH,OC_ORACLE,OC_MYSQL,2) ser_values,1,43,0.5185185185185185,0.19627810149092578,0.6428571428571429
LSH,OC_ORACLE,OC_MYSQL,2) ser_values,2,86,0.6296296296296297,0.16329818613100347,0.6944444444444444
LSH,OC_ORACLE,OC_MYSQL,2) ser_values,3,129,0.7037037037037037,0.14480268045279193,0.7156084656084656
LSH,OC_ORACLE,OC_MYSQL,2) ser_values,5,215,0.7777777777777778,0.1311689526837713,0.737037037037037
LSH,OC_ORACLE,OC_MYSQL,2) ser_values,10,430,0.8518518518518519,0.11998870128470494,0.7441798941798942
LSH,OC_ORACLE,OC_MYSQL,2) ser_values,20,860,1.0,0.10271270515916393,0.7573005698005698
LSH,OC_ORACLE,OC_MYSQL,4) ser_reference,1,43,0.48148148148148145,0.21277088780578937,0.5793650793650793
LSH,OC_ORACLE,OC_MYSQL,4) ser_reference,2,86,0.6296296296296297,0.168061381088361,0.6468253968253969
LSH,OC_ORACLE,OC_MYSQL,4) ser_reference,3,129,0.7407407407407407,0.1468462512595364,0.6865079365079365
LSH,OC_ORACLE,OC_MYSQL,4) ser_reference,5,215,0.8148148148148148,0.13235763557620864,0.7039682539682539
LSH,OC_ORACLE,OC_MYSQL,4) ser_reference,10,430,0.8888888888888888,0.12109224492906047,0.7175736961451248
LSH,OC_ORACLE,OC_MYSQL,4) ser_reference,20,860,1.0,0.10779418584963037,0.7282519068233354
LSH,TPCH_SF1,OC_MYSQL,3) ser_magneto,1,61,0.36666666666666664,0.2212536457239123,0.425
LSH,TPCH_SF1,OC_MYSQL,3) ser_magneto,2,122,0.5333333333333333,0.15153510713075863,0.5027777777777778
LSH,TPCH_SF1,OC_MYSQL,3) ser_magneto,3,183,0.6333333333333333,0.13052801928784166,0.5444444444444444
LSH,TPCH_SF1,OC_MYSQL,3) ser_magneto,5,305,0.7333333333333333,0.11280730403459281,0.5736111111111111
LSH,TPCH_SF1,OC_MYSQL,3) ser_magneto,10,610,0.9666666666666667,0.08691847700342313,0.6115343915343915
LSH,TPCH_SF1,OC_MYSQL,3) ser_magneto,20,1220,0.9666666666666667,0.08685523764745154,0.6115343915343915
LSH,TPCH_SF1,OC_MYSQL,1) ser_schema,1,61,0.5666666666666667,0.18236117827544682,0.6472222222222223
LSH,TPCH_SF1,OC_MYSQL,1) ser_schema,2,122,0.7,0.15275973702686682,0.7111111111111111
LSH,TPCH_SF1,OC_MYSQL,1) ser_schema,3,183,0.7666666666666667,0.14131583866767686,0.7388888888888889
LSH,TPCH_SF1,OC_MYSQL,1) ser_schema,5,305,0.9,0.12384683210155553,0.7726388888888889
LSH,TPCH_SF1,OC_MYSQL,1) ser_schema,10,610,1.0,0.11123892660660832,0.7869246031746032
LSH,TPCH_SF1,OC_MYSQL,1) ser_schema,20,1220,1.0,0.11102740936000918,0.7869246031746032
LSH,TPCH_SF1,OC_MYSQL,2) ser_values,1,61,0.5333333333333333,0.1834187680096253,0.6055555555555555
LSH,TPCH_SF1,OC_MYSQL,2) ser_values,2,122,0.6333333333333333,0.15284941830117527,0.6486111111111111
LSH,TPCH_SF1,OC_MYSQL,2) ser_values,3,183,0.7666666666666667,0.1265218862310786,0.6986111111111111
LSH,TPCH_SF1,OC_MYSQL,2) ser_values,5,305,0.8666666666666667,0.11342436346817622,0.7256944444444445
LSH,TPCH_SF1,OC_MYSQL,2) ser_values,10,610,0.9666666666666667,0.10159051274834849,0.7445436507936508
LSH,TPCH_SF1,OC_MYSQL,2) ser_values,20,1220,1.0,0.09829024617196387,0.747748778998779
LSH,TPCH_SF1,OC_MYSQL,4) ser_reference,1,61,0.4666666666666667,0.21333162208162207,0.5222222222222223
LSH,TPCH_SF1,OC_MYSQL,4) ser_reference,2,122,0.6666666666666666,0.14794085102981303,0.6347222222222222
LSH,TPCH_SF1,OC_MYSQL,4) ser_reference,3,183,0.7,0.13776116073067105,0.6430555555555556
LSH,TPCH_SF1,OC_MYSQL,4) ser_reference,5,305,0.8333333333333334,0.11617847884164163,0.6774999999999999
LSH,TPCH_SF1,OC_MYSQL,4) ser_reference,10,610,0.9333333333333333,0.10384980576844417,0.6946130952380952
LSH,TPCH_SF1,OC_MYSQL,4) ser_reference,20,1220,0.9666666666666667,0.10012722305998632,0.6975892857142857
LSH,SAKILA,OC_MYSQL,3) ser_magneto,1,70,0.4358974358974359,0.14370698005112348,0.45
