schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.6666666666666666,0.7,0.9629629629629628,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.648,0.8560000000000001,0.9120000000000001,0.9560000000000001,0.9719999999999999,1.0,1.0,,,,,,,,,
sakila__oc_oracle,recall,0.7,0.75,0.9928571428571429,0.9964285714285716,1.0,1.0,1.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.9380952380952381,0.961904761904762,0.9952380952380953,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.4875,0.5791666666666666,0.7625,0.9,0.9958333333333333,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,recall,0.6666666666666667,0.8794871794871796,0.917948717948718,0.9333333333333333,0.9923076923076923,1.0,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.656,0.804,0.952,0.96,0.96,0.9960000000000001,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.6399999999999999,0.7033333333333334,0.8566666666666667,0.9133333333333333,0.9633333333333333,0.9866666666666667,1.0,1.0,,,,,,,,
sakila__tpch_sf1,recall,0.41764705882352937,0.7029411764705882,0.8941176470588236,0.9794117647058822,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__sakila,recall,0.6238095238095238,0.7,0.8380952380952381,0.8571428571428571,0.9476190476190476,0.9571428571428571,0.9666666666666668,0.9857142857142858,0.9952380952380953,0.9952380952380953,1.0,1.0,1.0,1.0,1.0,1.0
oc_mysql__sakila,recall,0.6333333333333333,0.8743589743589745,0.8974358974358975,0.9307692307692308,0.9461538461538461,0.9717948717948719,0.9846153846153847,0.9974358974358974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tpch_sf1__sakila,recall,0.39629629629629626,0.6777777777777778,0.8851851851851851,0.9407407407407407,0.9703703703703702,0.9777777777777776,0.9925925925925926,0.9962962962962962,0.9962962962962962,0.9962962962962962,1.0,1.0,1.0,1.0,1.0,1.0
