schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.663 ± 0.012,0.707 ± 0.012,0.989 ± 0.018,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
tpch_sf1__oc_oracle,recall,0.516 ± 0.044,0.792 ± 0.025,0.96 ± 0.0,0.96 ± 0.0,0.96 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
sakila__oc_oracle,recall,0.679 ± 0.029,0.711 ± 0.026,0.932 ± 0.02,0.946 ± 0.019,0.964 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
oc_oracle__oc_mysql,recall,0.871 ± 0.032,0.957 ± 0.015,0.967 ± 0.023,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
tpch_sf1__oc_mysql,recall,0.492 ± 0.018,0.629 ± 0.013,0.892 ± 0.045,0.992 ± 0.018,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
sakila__oc_mysql,recall,0.644 ± 0.019,0.897 ± 0.017,0.964 ± 0.013,0.979 ± 0.011,0.987 ± 0.014,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
oc_oracle__tpch_sf1,recall,0.64 ± 0.027,0.868 ± 0.027,0.96 ± 0.0,0.96 ± 0.0,0.96 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
oc_mysql__tpch_sf1,recall,0.633 ± 0.0,0.773 ± 0.034,0.91 ± 0.016,0.97 ± 0.011,0.983 ± 0.018,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
sakila__tpch_sf1,recall,0.426 ± 0.029,0.615 ± 0.038,0.765 ± 0.031,0.976 ± 0.012,0.979 ± 0.014,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
oc_oracle__sakila,recall,0.581 ± 0.038,0.714 ± 0.022,0.757 ± 0.035,0.805 ± 0.015,0.862 ± 0.042,0.929 ± 0.034,0.938 ± 0.023,0.952 ± 0.0,0.952 ± 0.0,0.971 ± 0.025,0.995 ± 0.015,0.995 ± 0.015,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0
oc_mysql__sakila,recall,0.597 ± 0.047,0.846 ± 0.024,0.892 ± 0.016,0.926 ± 0.008,0.951 ± 0.019,0.974 ± 0.012,0.992 ± 0.012,0.997 ± 0.008,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0
tpch_sf1__sakila,recall,0.393 ± 0.047,0.678 ± 0.05,0.807 ± 0.057,0.893 ± 0.027,0.967 ± 0.021,0.996 ± 0.012,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0
