schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,precision,0.288135593220339,0.17796610169491525,0.15254237288135594,0.11440677966101695,0.09152542372881356,0.07627118644067797,0.06537530266343826,,,,,,,,,
oc_mysql__oc_oracle,recall,0.6296296296296297,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
oc_mysql__oc_oracle,f1,0.3953488372093023,0.2896551724137931,0.2647058823529412,0.20532319391634982,0.16770186335403725,0.14173228346456693,0.12272727272727273,,,,,,,,,
tpch_sf1__oc_oracle,precision,0.2786885245901639,0.1721311475409836,0.12568306010928962,0.10245901639344263,0.08196721311475409,0.06830601092896176,0.0585480093676815,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.68,0.84,0.92,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,f1,0.3953488372093023,0.2857142857142857,0.22115384615384615,0.18587360594795538,0.1515151515151515,0.1278772378516624,0.11061946902654866,,,,,,,,,
sakila__oc_oracle,precision,0.24285714285714285,0.16428571428571428,0.10952380952380952,0.08928571428571429,0.07142857142857142,0.06190476190476191,0.05714285714285714,,,,,,,,,
sakila__oc_oracle,recall,0.6071428571428571,0.8214285714285714,0.8214285714285714,0.8928571428571429,0.8928571428571429,0.9285714285714286,1.0,,,,,,,,,
sakila__oc_oracle,f1,0.3469387755102041,0.2738095238095238,0.19327731092436973,0.16233766233766236,0.13227513227513227,0.11607142857142858,0.1081081081081081,,,,,,,,,
oc_oracle__oc_mysql,precision,0.4186046511627907,0.23255813953488372,0.16279069767441862,0.12209302325581395,0.09767441860465116,0.08139534883720931,0.06976744186046512,0.061046511627906974,,,,,,,,
oc_oracle__oc_mysql,recall,0.8571428571428571,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__oc_mysql,f1,0.5625000000000001,0.37383177570093457,0.28,0.21761658031088082,0.17796610169491525,0.15053763440860218,0.13043478260869565,0.11506849315068494,,,,,,,,
tpch_sf1__oc_mysql,precision,0.22950819672131148,0.13114754098360656,0.12021857923497267,0.09836065573770492,0.07868852459016394,0.06557377049180328,0.05620608899297424,0.04918032786885246,,,,,,,,
tpch_sf1__oc_mysql,recall,0.5833333333333334,0.6666666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,f1,0.32941176470588235,0.2191780821917808,0.21256038647342992,0.1791044776119403,0.14589665653495443,0.12307692307692307,0.10643015521064302,0.09375,,,,,,,,
sakila__oc_mysql,precision,0.32857142857142857,0.2571428571428571,0.18095238095238095,0.1357142857142857,0.11142857142857143,0.09285714285714286,0.07959183673469387,0.06964285714285715,,,,,,,,
sakila__oc_mysql,recall,0.5897435897435898,0.9230769230769231,0.9743589743589743,0.9743589743589743,1.0,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,f1,0.4220183486238532,0.40223463687150834,0.30522088353413657,0.238244514106583,0.20051413881748073,0.1699346405228758,0.14744801512287334,0.1302170283806344,,,,,,,,
oc_oracle__tpch_sf1,precision,0.3023255813953488,0.23255813953488372,0.18604651162790697,0.14534883720930233,0.11627906976744186,0.09689922480620156,0.08305647840531562,0.07267441860465117,,,,,,,,
oc_oracle__tpch_sf1,recall,0.52,0.8,0.96,1.0,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,f1,0.38235294117647056,0.36036036036036034,0.31168831168831174,0.25380710659898476,0.20833333333333334,0.17667844522968199,0.15337423312883436,0.13550135501355015,,,,,,,,
oc_mysql__tpch_sf1,precision,0.3389830508474576,0.2033898305084746,0.15254237288135594,0.11864406779661017,0.09830508474576272,0.0847457627118644,0.07263922518159806,0.0635593220338983,,,,,,,,
oc_mysql__tpch_sf1,recall,0.6666666666666666,0.8,0.9,0.9333333333333333,0.9666666666666667,1.0,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,f1,0.44943820224719105,0.3243243243243243,0.2608695652173913,0.2105263157894737,0.17846153846153845,0.15625,0.13544018058690743,0.1195219123505976,,,,,,,,
sakila__tpch_sf1,precision,0.22857142857142856,0.17857142857142858,0.1380952380952381,0.11071428571428571,0.09714285714285714,0.08095238095238096,0.06938775510204082,0.060714285714285714,,,,,,,,
sakila__tpch_sf1,recall,0.47058823529411764,0.7352941176470589,0.8529411764705882,0.9117647058823529,1.0,1.0,1.0,1.0,,,,,,,,
sakila__tpch_sf1,f1,0.3076923076923077,0.28735632183908044,0.23770491803278687,0.19745222929936304,0.17708333333333331,0.1497797356828194,0.1297709923664122,0.11447811447811447,,,,,,,,
oc_oracle__sakila,precision,0.27906976744186046,0.1511627906976744,0.10852713178294573,0.09302325581395349,0.07906976744186046,0.06589147286821706,0.05647840531561462,0.04941860465116279,0.04909560723514212,0.046511627906976744,0.042283298097251586,0.03875968992248062,0.03756708407871199,0.03488372093023256,0.03255813953488372,0.03255813953488372
oc_oracle__sakila,recall,0.5714285714285714,0.6190476190476191,0.6666666666666666,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,1.0
