schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.625925925925926,0.7333333333333333,0.8185185185185185,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.796,0.884,0.9480000000000001,0.992,1.0,1.0,1.0,,,,,,,,,
sakila__oc_oracle,recall,0.6821428571428572,0.9,0.9571428571428573,0.9642857142857144,0.9642857142857144,1.0,1.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.8238095238095238,0.9476190476190476,0.9857142857142858,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.4958333333333333,0.6875,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,recall,0.4461538461538462,0.7666666666666667,0.9717948717948719,0.9743589743589745,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.776,0.908,0.96,1.0,1.0,1.0,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.6799999999999999,0.89,0.9933333333333334,1.0,1.0,1.0,1.0,1.0,,,,,,,,
sakila__tpch_sf1,recall,0.32941176470588235,0.5705882352941176,0.8676470588235293,0.9882352941176471,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__sakila,recall,0.5238095238095238,0.7095238095238094,0.7285714285714285,0.7666666666666666,0.7952380952380953,0.8142857142857143,0.8428571428571429,0.8761904761904761,0.9047619047619048,0.9095238095238095,0.9333333333333333,0.9761904761904763,1.0,1.0,1.0,1.0
oc_mysql__sakila,recall,0.4230769230769231,0.8282051282051281,0.9,0.9461538461538461,0.9512820512820512,0.9692307692307693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tpch_sf1__sakila,recall,0.37777777777777777,0.674074074074074,0.8222222222222222,0.9296296296296296,0.9777777777777776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
