schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.011712139482105121,0.05856069741052554,0.023424278964210215,0.0,0.0,0.0,0.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.02951459149490487,0.016865480854231327,0.012649110640673512,0.0,0.0,0.0,0.0,,,,,,,,,
sakila__oc_oracle,recall,0.017251638983558863,0.050507627227610555,0.02258769757263131,0.02817180849095054,0.0,0.0,0.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.03214040751002633,0.0301169300968417,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.02012691214748534,0.051219691429404954,0.02151657414559676,0.0,0.0,0.0,0.0,0.0,,,,,,,,
sakila__oc_mysql,recall,0.057271335274362276,0.017306373274629527,0.0,0.0,0.008108404256841967,0.0,0.0,0.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.041311822359545766,0.026997942308422142,0.019321835661585882,0.0,0.0,0.020655911179772907,0.0,0.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.02222222222222221,0.01721325931647742,0.0,0.010540925533894666,0.01405456737852623,0.01610152971798821,0.014054567378526082,0.0,,,,,,,,
sakila__tpch_sf1,recall,0.021701905510959428,0.037332221107175996,0.01240108886340541,0.0,0.0,0.0,0.0,0.0,,,,,,,,
oc_oracle__sakila,recall,0.023002185311411783,0.02300218531141184,0.033671751485073696,0.0,0.02459037045211055,0.020077953397894494,0.04169500170337686,0.02300218531141182,0.015058465048420887,0.01505846504842083,0.020077953397894425,0.0,0.0,0.0,0.0,0.0
oc_mysql__sakila,recall,0.02911006216397678,0.02432521277052601,0.008108404256842042,0.0,0.0,0.0,0.014555031081988357,0.00810840425684197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpch_sf1__sakila,recall,0.049996189460040946,0.03578117715108503,0.04999618946004101,0.03123237195228021,0.027328325458245234,0.01912584368497499,0.011712139482105153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
